Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,452400,334300,1472300,1148300,83,2012-08-23 00:00:00
0,452600,336600,1470000,1148500,83,2012-08-24 00:00:00
0,452700,336700,1469900,1148800,83,2012-08-25 00:00:00
0,453000,337800,1468800,1148900,83,2012-08-26 00:00:00
0,453200,339000,1467600,1149100,83,2012-08-27 00:00:00
0,453500,339800,1466800,1149200,83,2012-08-28 00:00:00
0,453800,339000,1467600,1149300,83,2012-08-29 00:00:00
0,454100,339000,1467600,1149400,83,2012-08-30 00:00:00
0,454200,339900,1466700,1149700,83,2012-08-31 00:00:00
0,454400,341500,1465100,1149900,83,2012-09-01 00:00:00
0,454600,343200,1463400,1150100,83,2012-09-02 00:00:00
0,454900,344000,1462600,1150200,83,2012-09-03 00:00:00
0,455200,343700,1462900,1150300,83,2012-09-04 00:00:00
0,455500,343400,1463200,1150400,83,2012-09-05 00:00:00
0,455900,343200,1463400,1150400,83,2012-09-06 00:00:00
0,456200,342800,1463800,1150500,83,2012-09-07 00:00:00
0,456500,342700,1463900,1150600,83,2012-09-08 00:00:00
0,456600,343500,1463100,1150900,83,2012-09-09 00:00:00
0,457100,344900,1461700,1150800,83,2012-09-10 00:00:00
0,457200,346100,1460500,1151100,83,2012-09-11 00:00:00
0,457600,345400,1461200,1151100,83,2012-09-12 00:00:00
0,461100,345400,1461200,1148000,83,2012-09-13 00:00:00
0,461400,345100,1461500,1148100,83,2012-09-14 00:00:00
0,461700,346700,1459900,1148200,83,2012-09-15 00:00:00
0,461800,345800,1460900,1148400,83,2012-09-16 00:00:00
0,462100,344900,1461800,1148500,83,2012-09-17 00:00:00
0,462200,345200,1461600,1148700,83,2012-09-18 00:00:00
0,462500,344900,1461900,1148800,83,2012-09-19 00:00:00
0,462800,346700,1460300,1148700,83,2012-09-20 00:00:00
0,462800,345600,1461500,1149000,83,2012-09-21 00:00:00
0,463000,345400,1461700,1149200,83,2012-09-22 00:00:00
0,463000,346400,1460800,1149500,83,2012-09-23 00:00:00
0,462400,345200,1462900,1149600,83,2012-09-24 00:00:00
0,462800,346600,1461500,1149600,83,2012-09-25 00:00:00
0,463000,347300,1460800,1149800,83,2012-09-26 00:00:00
0,463400,348700,1459400,1149800,83,2012-09-27 00:00:00
0,463600,348000,1460100,1150000,83,2012-09-28 00:00:00
0,463600,348300,1459900,1150300,83,2012-09-29 00:00:00
0,464000,350000,1458200,1150300,83,2012-09-30 00:00:00
0,464300,349100,1459100,1150400,83,2012-10-01 00:00:00
0,464500,348800,1459400,1150600,83,2012-10-02 00:00:00
0,464800,348000,1460200,1150700,83,2012-10-03 00:00:00
0,464800,348800,1459400,1151100,83,2012-10-04 00:00:00
0,465200,350000,1458200,1151100,83,2012-10-05 00:00:00
0,465500,350600,1457600,1151200,83,2012-10-06 00:00:00
0,465800,350600,1457600,1151300,83,2012-10-07 00:00:00
0,466000,350400,1457800,1151500,83,2012-10-08 00:00:00
0,466200,351300,1456900,1151700,83,2012-10-09 00:00:00
0,466500,358400,1449800,1151800,83,2012-10-10 00:00:00
0,466800,356200,1452000,1151900,83,2012-10-11 00:00:00
0,467000,351600,1456600,1152100,83,2012-10-12 00:00:00
0,467200,349100,1459100,1152300,83,2012-10-13 00:00:00
0,467500,348400,1459800,1152400,83,2012-10-14 00:00:00
0,467700,347800,1460400,1152600,83,2012-10-15 00:00:00
0,467800,347900,1460300,1152900,83,2012-10-16 00:00:00
0,467900,348300,1459900,1153200,83,2012-10-17 00:00:00
0,468400,348700,1459500,1153100,83,2012-10-18 00:00:00
0,468600,348800,1459400,1153300,83,2012-10-19 00:00:00
0,468800,349100,1459100,1153500,83,2012-10-20 00:00:00
0,469300,349600,1458600,1153400,83,2012-10-21 00:00:00
0,469600,350100,1458100,1153500,83,2012-10-22 00:00:00
0,469900,350600,1457600,1153600,83,2012-10-23 00:00:00
0,470200,350900,1457300,1153700,83,2012-10-24 00:00:00
0,470500,351200,1457000,1153800,83,2012-10-25 00:00:00
0,470900,351200,1457000,1153800,83,2012-10-26 00:00:00
0,471100,351100,1457100,1154000,83,2012-10-27 00:00:00
0,471200,351200,1457000,1154300,83,2012-10-28 00:00:00
0,471400,351500,1456700,1154500,83,2012-10-29 00:00:00
0,471500,352000,1456200,1154800,83,2012-10-30 00:00:00
0,471900,352200,1456000,1154800,83,2012-10-31 00:00:00
0,472100,352600,1455600,1155000,83,2012-11-01 00:00:00
0,472500,352700,1455500,1155000,83,2012-11-02 00:00:00
0,472800,352800,1455400,1155100,83,2012-11-03 00:00:00
0,473200,353100,1455100,1155100,83,2012-11-04 00:00:00
0,474200,353600,1454600,1154500,83,2012-11-05 00:00:00
0,474500,353800,1454400,1154600,83,2012-11-06 00:00:00
0,474700,353700,1454500,1154800,83,2012-11-07 00:00:00
0,474900,353700,1454500,1155000,83,2012-11-08 00:00:00
0,475100,354000,1454300,1155100,83,2012-11-09 00:00:00
0,475100,354000,1454500,1155300,83,2012-11-10 00:00:00
0,475500,354100,1454400,1155300,83,2012-11-11 00:00:00
0,475700,354400,1454100,1155500,83,2012-11-12 00:00:00
0,475900,354600,1453900,1155700,83,2012-11-13 00:00:00
0,476200,354600,1453900,1155800,83,2012-11-14 00:00:00
0,476500,354700,1453800,1155900,83,2012-11-15 00:00:00
0,476700,354600,1453900,1156100,83,2012-11-16 00:00:00
0,476800,355000,1453500,1156400,83,2012-11-17 00:00:00
0,477200,355000,1453500,1156400,83,2012-11-18 00:00:00
0,477400,354900,1453600,1156600,83,2012-11-19 00:00:00
0,479300,355100,1453400,1155100,83,2012-11-20 00:00:00
0,479600,355200,1453300,1155200,83,2012-11-21 00:00:00
0,479900,355400,1453100,1155300,83,2012-11-22 00:00:00
0,480000,355500,1453000,1155600,83,2012-11-23 00:00:00
0,480400,355600,1452900,1155600,83,2012-11-24 00:00:00
0,480600,355700,1452800,1155800,83,2012-11-25 00:00:00
0,480700,355800,1452700,1156100,83,2012-11-26 00:00:00
0,481000,356100,1452400,1156200,83,2012-11-27 00:00:00
0,481200,356400,1452100,1156400,83,2012-11-28 00:00:00
0,481500,356500,1452000,1156500,83,2012-11-29 00:00:00
0,481600,356500,1452000,1156800,83,2012-11-30 00:00:00
0,481900,356600,1451900,1156900,83,2012-12-01 00:00:00
0,482400,356600,1451900,1156800,83,2012-12-02 00:00:00
0,482500,356600,1451900,1157100,83,2012-12-03 00:00:00
0,482900,356600,1451900,1157100,83,2012-12-04 00:00:00
0,483300,356700,1451800,1157100,83,2012-12-05 00:00:00
0,483500,356700,1451800,1157300,83,2012-12-06 00:00:00
0,483700,356700,1451800,1157500,83,2012-12-07 00:00:00
0,484000,356700,1451800,1157600,83,2012-12-08 00:00:00
0,484200,356700,1451800,1157800,83,2012-12-09 00:00:00
0,484400,356800,1451700,1158000,83,2012-12-10 00:00:00
0,484600,356800,1451700,1158200,83,2012-12-11 00:00:00
0,485000,356900,1451600,1158200,83,2012-12-12 00:00:00
