Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
42000,1132500,342600,660000,1200300,73,2012-05-10 00:00:00
42000,1054200,413400,666900,1200600,76,2012-05-11 00:00:00
42000,989700,475200,671400,1201200,70,2012-05-12 00:00:00
42000,936300,544200,653100,1201800,79,2012-05-13 00:00:00
42000,891000,592800,649500,1202400,80,2012-05-14 00:00:00
42900,879000,625800,648600,1183200,76,2012-05-15 00:00:00
42900,854100,684000,612300,1183500,87,2012-05-16 00:00:00
42900,838800,726900,585000,1184100,86,2012-05-17 00:00:00
42900,819600,759600,570300,1184700,90,2012-05-18 00:00:00
42900,806400,786600,557400,1185300,87,2012-05-19 00:00:00
42900,793500,807000,548100,1185900,93,2012-05-20 00:00:00
45300,780600,829500,540600,1183800,87,2012-05-21 00:00:00
45300,770700,853500,527400,1183800,86,2012-05-22 00:00:00
45300,757200,867600,524100,1184100,96,2012-05-23 00:00:00
45300,752700,889800,505800,1184400,99,2012-05-24 00:00:00
45300,745800,912600,489000,1184700,103,2012-05-25 00:00:00
45300,740400,943500,465000,1185000,99,2012-05-26 00:00:00
45300,733500,958200,456600,1185300,102,2012-05-27 00:00:00
45300,731700,963600,453900,1185300,101,2012-05-28 00:00:00
45300,728100,973500,447600,1185300,103,2012-05-29 00:00:00
45300,724200,979200,446700,1185300,102,2012-05-30 00:00:00
45300,720900,990300,438600,1185600,104,2012-05-31 00:00:00
45300,720000,1000500,429000,1185600,107,2012-06-01 00:00:00
45300,716400,1010100,422700,1185600,110,2012-06-02 00:00:00
45300,713400,1020900,416100,1185900,107,2012-06-03 00:00:00
45300,712200,1039500,399000,1186200,107,2012-06-04 00:00:00
45300,712200,1052700,384000,1186500,114,2012-06-05 00:00:00
45300,711000,1048500,390300,1186500,113,2012-06-06 00:00:00
45300,710700,1048200,391800,1186800,111,2012-06-07 00:00:00
45300,708600,1045200,397200,1186800,112,2012-06-08 00:00:00
45300,706500,1047300,396600,1187400,114,2012-06-09 00:00:00
