Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
54,19753,30245,0.34690031410150435,5131,3432,0.49504662004662014,1942,1035,0.876328502415459,1421,2809,0.49412602349590606,1217,1278,0.04773082942097029,39,901,0.9567147613762486,4791,445,9.766292134831462,0.49209116951052434,40145,40145,40145,0,34294,0,0.815047131187295
55,19809,30488,0.350268958278667,5335,3502,0.5234151913192462,1940,1038,0.8689788053949903,1440,2910,0.5051546391752577,1233,1296,0.04861111111111116,41,940,0.9563829787234043,4976,465,9.701075268817204,0.5009227589261547,40639,40639,40639,0,34774,0,0.8169508866240301
56,19867,30731,0.353519247665224,5538,3571,0.5508260991318958,1939,1041,0.8626320845341018,1470,3011,0.5117901029558286,1253,1314,0.04642313546423138,43,979,0.9560776302349336,5188,484,9.71900826446281,0.5098587440130316,41131,41131,41131,0,35298,0,0.8199184819604182
57,19941,30974,0.35620197585071345,5722,3640,0.5719780219780219,1936,1043,0.8561840843720039,1497,3113,0.5191133954384838,1265,1332,0.050300300300300305,47,1019,0.9538763493621197,5359,503,9.654075546719682,0.5169853930424755,41624,41624,41624,0,35767,0,0.8214748001516904
58,20007,31216,0.35907867760123013,5924,3709,0.5971960097061202,1933,1046,0.8479923518164436,1520,3214,0.5270690728064718,1280,1350,0.051851851851851816,51,1058,0.9517958412098299,5547,523,9.606118546845124,0.5248836546680596,42116,42116,42116,0,36262,0,0.8236315671363368
59,20080,31459,0.36170889093741054,6102,3778,0.6151402858655373,1928,1049,0.8379408960915158,1535,3315,0.5369532428355958,1301,1368,0.04897660818713445,55,1097,0.9498632634457611,5746,542,9.601476014760147,0.5321770559519339,42608,42608,42608,0,36747,0,0.8255038274857763
60,20137,31702,0.3648034824301306,6302,3848,0.6377338877338878,1927,1051,0.8334919124643196,1569,3417,0.5408252853380158,1321,1386,0.04689754689754688,58,1136,0.948943661971831,5910,561,9.53475935828877,0.5390826198928099,43101,43101,43101,0,37224,0,0.8271285371920364
61,20198,31945,0.36772577868210987,6500,3917,0.6594332397242788,1923,1054,0.8244781783681214,1603,3518,0.5443433769187038,1342,1404,0.04415954415954415,60,1175,0.948936170212766,6066,581,9.440619621342513,0.545396155434234,43594,43594,43594,0,37692,0,0.8285100491240529
62,20262,32188,0.370510749347583,6655,3986,0.6695935775213246,1926,1057,0.8221381267738883,1654,3562,0.5356541268950028,1370,1414,0.03111739745403108,64,1215,0.9473251028806584,6176,600,9.293333333333333,0.5484303302894008,44022,44022,44022,0,38107,0,0.8298820381062642
63,20322,32430,0.3733580018501388,6789,4055,0.67422934648582,1927,1059,0.8196411709159586,1698,3605,0.528987517337032,1402,1423,0.014757554462403344,67,1254,0.9465709728867624,6260,620,9.096774193548388,0.550443234486793,44446,44446,44446,0,38465,0,0.8300199586355118
64,20394,32673,0.37581489303094295,6882,4124,0.6687681862269641,1925,1062,0.8126177024482109,1754,3649,0.5193203617429433,1447,1433,0.00976971388695036,69,1293,0.9466357308584686,6338,639,8.918622848200313,0.5511554832527354,44873,44873,44873,0,38809,0,0.8297877806590591
65,20453,32748,0.37544277513130575,6917,4194,0.6492608488316642,1924,1065,0.8065727699530516,1823,3693,0.5063633901976713,1490,1442,0.03328710124826628,77,1332,0.9421921921921922,6403,658,8.731003039513677,0.5493884605158202,45132,45132,45132,0,39087,0,0.8311855685880076
66,20525,32822,0.37465724209371765,6917,4263,0.622566267886465,1924,1068,0.8014981273408239,1892,3736,0.49357601713062094,1525,1452,0.05027548209366395,80,1371,0.9416484318016046,6431,678,8.485250737463128,0.5456708526107072,45390,45390,45390,0,39294,0,0.8310215263607393
67,20595,32897,0.3739550718910539,6909,4332,0.5948753462603877,1929,1070,0.8028037383177571,1961,3780,0.4812169312169312,1574,1462,0.07660738714090298,84,1411,0.9404677533664068,6440,697,8.239598278335725,0.5419395824662095,45649,45649,45649,0,39492,0,0.8306439808432596
68,20659,32971,0.3734190652391496,6903,4401,0.5685071574642127,1926,1073,0.7949673811742777,2020,3823,0.47161914726654464,1623,1471,0.1033310673011556,88,1450,0.9393103448275862,6441,716,7.995810055865922,0.5382638056856551,45905,45905,45905,0,39660,0,0.829671431903147
69,20735,33046,0.3725413060582219,6899,4470,0.5434004474272931,1929,1076,0.7927509293680297,2083,3867,0.46133953969485386,1661,1481,0.12153950033760963,89,1489,0.9402283411685695,6452,736,7.766304347826088,0.5344525073107332,46165,46165,46165,0,39848,0,0.8290710945849444
70,20806,33120,0.37179951690821256,6893,4540,0.5182819383259911,1927,1078,0.787569573283859,2131,3910,0.45498721227621486,1690,1490,0.13422818791946312,92,1528,0.9397905759162304,6451,755,7.5443708609271525,0.5305142069322074,46421,46421,46421,0,39990,0,0.82755793889649
71,20889,33195,0.3707184816990511,6897,4609,0.496420047732697,1926,1081,0.7816836262719704,2174,3954,0.4501770359129995,1726,1500,0.15066666666666673,98,1567,0.9374601148691768,6453,775,7.3264516129032256,0.5268096227587241,46681,46681,46681,0,40163,0,0.8266546792381045
72,20972,33269,0.3696233731101025,6899,4678,0.4747755451047455,1925,1084,0.7758302583025831,2233,3998,0.4414707353676839,1768,1510,0.17086092715231782,103,1607,0.9359054138145613,6449,794,7.1221662468513856,0.5228163613123136,46940,46940,46940,0,40349,0,0.8260559667983375
73,21060,33343,0.3683831688810245,6909,4747,0.4554455445544554,1927,1087,0.7727690892364305,2288,4041,0.4338035139816877,1798,1519,0.18367346938775508,107,1646,0.9349939246658566,6445,813,6.927429274292743,0.5188575302991779,47196,47196,47196,0,40534,0,0.8254951072445538
74,21147,33418,0.367197318810222,6909,4816,0.43459302325581395,1931,1089,0.7731864095500458,2346,4085,0.425703794369645,1827,1529,0.1948986265533028,118,1685,0.9299703264094955,6440,833,6.73109243697479,0.5145295543146139,47455,47455,47455,0,40718,0,0.8248670757878824
75,21223,33492,0.36632628687447744,6899,4886,0.41199345067539905,1931,1092,0.7683150183150182,2388,4128,0.4215116279069767,1860,1538,0.2093628088426529,125,1724,0.9274941995359629,6433,852,6.550469483568075,0.5106262575452716,47712,47712,47712,0,40859,0,0.8233791725669425
76,21303,33567,0.36535883456966667,6904,4955,0.3933400605449042,1931,1095,0.7634703196347032,2451,4172,0.4125119846596357,1886,1548,0.21834625322997425,131,1763,0.9256948383437322,6422,871,6.373134328358209,0.5063684309270184,47971,47971,47971,0,41028,0,0.8224566317465543
